order_id,quantity,unit_price,total_price,pizza_id
1,1,13.25,13.25,1
2,1,16.0,16.0,2
2,1,18.5,18.5,3
2,1,20.75,20.75,5
2,1,16.0,16.0,4
2,1,20.75,20.75,6
9,1,12.0,12.0,2
9,1,20.75,20.75,5
9,1,12.5,12.5,5
9,1,12.0,12.0,4
9,1,12.0,12.0,11
9,1,20.5,20.5,12
9,1,20.75,20.75,13
9,1,20.75,20.75,14
9,1,12.0,12.0,15
3,1,16.5,16.5,5
3,1,20.75,20.75,7
4,1,16.5,16.5,5
5,1,16.5,16.5,5
6,1,12.75,12.75,8
6,1,12.0,12.0,9
7,1,12.5,12.5,10
8,1,12.5,12.5,10
10,1,20.25,20.25,4
10,1,20.75,20.75,16
12,1,16.5,16.5,5
12,1,20.75,20.75,17
12,1,12.75,12.75,17
12,1,20.75,20.75,19
12,1,16.25,16.25,24
11,1,20.75,20.75,8
11,1,20.75,20.75,17
11,1,16.75,16.75,17
11,1,15.25,15.25,18
13,1,20.25,20.25,4
14,1,12.0,12.0,9
15,1,12.0,12.0,20
15,1,18.5,18.5,3
15,1,20.75,20.75,21
15,1,12.0,12.0,9
16,1,17.95,17.95,22
16,1,12.0,12.0,23
16,1,20.75,20.75,6
17,1,20.75,20.75,8
17,1,16.25,16.25,24
17,1,18.5,18.5,3
17,1,14.75,14.75,22
17,1,16.5,16.5,5
17,1,12.75,12.75,25
17,2,16.0,32.0,26
17,1,20.25,20.25,4
17,1,12.5,12.5,27
17,1,20.25,20.25,28
18,1,20.5,20.5,23
19,1,20.5,20.5,12
19,1,20.25,20.25,29
20,1,12.0,12.0,20
20,1,18.5,18.5,3
21,1,20.5,20.5,12
22,1,18.5,18.5,3
22,1,16.0,16.0,12
22,1,20.75,20.75,16
23,1,12.75,12.75,16
24,1,16.75,16.75,8
24,1,16.0,16.0,12
24,1,12.5,12.5,18
24,1,12.5,12.5,7
25,1,16.25,16.25,29
25,1,20.75,20.75,6
25,1,16.75,16.75,8
25,1,12.75,12.75,8
25,1,18.5,18.5,3
25,1,12.5,12.5,18
25,1,16.5,16.5,10
25,1,20.5,20.5,9
26,1,12.0,12.0,2
26,1,20.25,20.25,15
27,1,20.75,20.75,8
27,1,16.0,16.0,2
27,1,20.25,20.25,28
28,1,12.75,12.75,30
29,1,12.0,12.0,11
29,1,20.25,20.25,11
29,1,16.5,16.5,1
29,1,16.75,16.75,16
29,1,20.75,20.75,6
30,1,20.75,20.75,6
30,1,16.5,16.5,7
31,1,16.0,16.0,4
31,1,9.75,9.75,18
32,1,12.0,12.0,20
32,1,20.25,20.25,11
32,1,20.5,20.5,12
32,1,16.5,16.5,5
33,1,20.75,20.75,8
33,1,12.0,12.0,11
34,1,12.0,12.0,9
35,1,16.0,16.0,11
35,1,17.5,17.5,31
35,1,12.5,12.5,18
35,1,20.75,20.75,6
36,1,16.75,16.75,8
36,1,16.0,16.0,2
37,1,20.75,20.75,5
37,1,20.25,20.25,4
38,1,10.5,10.5,1
38,1,20.5,20.5,12
39,1,20.75,20.75,5
40,1,17.95,17.95,22
40,1,12.75,12.75,16
41,1,14.75,14.75,22
41,1,12.0,12.0,11
42,1,12.0,12.0,20
42,1,18.5,18.5,3
42,1,20.25,20.25,4
42,1,16.5,16.5,27
42,1,16.0,16.0,2
43,1,16.75,16.75,30
43,1,16.5,16.5,5
43,1,20.75,20.75,27
44,1,12.5,12.5,14
45,1,17.95,17.95,22
45,1,10.5,10.5,1
45,1,16.75,16.75,6
45,1,20.75,20.75,8
45,1,20.75,20.75,6
46,1,20.75,20.75,19
46,1,20.5,20.5,2
46,1,16.75,16.75,6
47,1,20.75,20.75,16
47,1,12.0,12.0,15
48,1,16.75,16.75,19
48,1,12.0,12.0,11
48,1,20.75,20.75,7
48,1,20.75,20.75,13
48,1,20.25,20.25,4
48,1,20.75,20.75,6
49,1,20.25,20.25,29
50,1,25.5,25.5,9
51,1,20.75,20.75,8
51,1,17.5,17.5,31
52,1,16.5,16.5,1
52,1,20.25,20.25,4
52,1,20.75,20.75,13
53,1,11.0,11.0,31
53,1,16.5,16.5,10
54,1,16.5,16.5,7
54,1,20.75,20.75,6
55,1,12.5,12.5,27
55,1,20.75,20.75,13
56,1,16.0,16.0,2
56,1,20.25,20.25,26
56,1,16.75,16.75,16
57,1,16.0,16.0,2
58,1,18.5,18.5,3
58,1,12.5,12.5,18
59,1,12.75,12.75,25
59,1,11.0,11.0,31
59,1,15.25,15.25,18
60,1,20.75,20.75,19
60,1,14.75,14.75,22
61,1,16.75,16.75,8
61,1,20.75,20.75,5
62,1,16.75,16.75,8
62,1,16.5,16.5,10
63,1,14.5,14.5,31
64,1,12.0,12.0,20
65,1,11.0,11.0,31
65,1,12.25,12.25,29
65,1,12.5,12.5,13
65,1,16.5,16.5,10
66,1,16.0,16.0,2
66,1,16.0,16.0,12
67,1,20.75,20.75,16
68,1,16.0,16.0,2
68,1,20.75,20.75,5
68,1,16.5,16.5,5
69,1,20.75,20.75,8
69,1,12.75,12.75,6
70,1,12.75,12.75,25
70,1,20.75,20.75,21
71,1,20.75,20.75,6
71,1,16.75,16.75,25
72,1,20.25,20.25,28
72,1,20.75,20.75,8
72,1,17.95,17.95,22
72,1,20.75,20.75,27
72,1,12.5,12.5,27
73,1,12.75,12.75,6
74,1,18.5,18.5,3
74,1,20.25,20.25,4
74,1,12.5,12.5,14
74,1,20.75,20.75,10
75,1,12.5,12.5,5
75,1,20.25,20.25,26
75,1,20.5,20.5,23
76,1,12.0,12.0,20
76,1,16.5,16.5,1
76,1,21.0,21.0,25
76,1,20.75,20.75,13
77,1,16.75,16.75,8
77,1,13.25,13.25,1
78,1,12.0,12.0,20
78,1,12.0,12.0,2
78,1,17.95,17.95,22
78,1,16.0,16.0,12
78,3,20.75,62.25,13
78,1,12.75,12.75,6
79,1,20.5,20.5,12
79,1,11.0,11.0,31
79,1,20.75,20.75,6
80,1,9.75,9.75,18
80,1,16.75,16.75,6
81,1,20.75,20.75,6
82,1,12.0,12.0,20
82,1,16.75,16.75,17
82,1,20.75,20.75,13
82,1,16.0,16.0,15
83,1,12.75,12.75,16
84,1,15.25,15.25,18
85,1,16.0,16.0,2
85,1,12.0,12.0,2
85,1,20.75,20.75,5
85,1,16.0,16.0,9
85,1,16.5,16.5,7
85,1,12.0,12.0,28
86,1,16.5,16.5,1
87,1,16.0,16.0,12
87,1,16.0,16.0,4
87,1,20.75,20.75,10
87,1,12.5,12.5,10
88,1,18.5,18.5,3
89,1,20.75,20.75,21
89,1,20.75,20.75,6
90,1,20.25,20.25,29
90,1,12.75,12.75,6
91,2,20.75,41.5,8
91,1,12.75,12.75,19
91,1,9.75,9.75,18
91,1,14.75,14.75,22
91,1,16.5,16.5,5
92,1,16.75,16.75,8
92,1,20.75,20.75,5
92,1,16.5,16.5,5
92,1,12.75,12.75,25
92,1,12.5,12.5,18
92,1,16.5,16.5,27
92,1,12.0,12.0,28
92,1,12.5,12.5,10
92,2,16.0,32.0,9
93,1,16.25,16.25,29
94,1,16.0,16.0,12
94,1,12.75,12.75,16
95,1,12.0,12.0,23
95,1,20.75,20.75,27
96,1,12.0,12.0,23
97,1,12.0,12.0,20
97,1,12.0,12.0,2
97,1,9.75,9.75,18
98,1,20.5,20.5,2
98,1,20.5,20.5,23
99,1,20.75,20.75,5
100,1,16.5,16.5,1
101,1,20.75,20.75,17
101,1,15.25,15.25,18
101,1,20.75,20.75,21
101,1,16.5,16.5,13
102,1,12.75,12.75,8
102,1,12.5,12.5,7
103,1,12.5,12.5,10
104,1,16.75,16.75,8
104,1,16.75,16.75,30
104,1,16.75,16.75,25
104,1,20.25,20.25,15
105,2,10.5,21.0,1
105,1,15.25,15.25,18
105,1,16.5,16.5,7
106,1,20.25,20.25,4
106,1,20.75,20.75,13
107,1,20.75,20.75,17
107,1,16.5,16.5,5
107,1,20.75,20.75,13
107,1,20.25,20.25,15
108,1,20.5,20.5,2
108,1,16.5,16.5,1
108,1,20.75,20.75,10
109,1,20.5,20.5,12
109,1,20.75,20.75,5
109,1,12.5,12.5,18
109,1,20.75,20.75,7
110,1,12.0,12.0,20
110,1,20.5,20.5,23
110,1,20.75,20.75,21
110,1,12.5,12.5,13
111,1,16.75,16.75,17
111,1,18.5,18.5,3
111,1,12.5,12.5,18
111,1,20.75,20.75,14
111,1,10.5,10.5,1
111,1,20.75,20.75,13
112,1,9.75,9.75,18
113,1,20.75,20.75,17
113,1,20.25,20.25,4
113,1,16.75,16.75,16
114,1,15.25,15.25,18
114,1,12.25,12.25,29
115,1,12.0,12.0,20
115,1,20.5,20.5,23
115,1,16.75,16.75,6
116,1,18.5,18.5,3
117,1,16.5,16.5,27
117,1,20.25,20.25,29
118,1,20.75,20.75,7
118,1,12.0,12.0,28
119,1,14.75,14.75,22
120,1,12.0,12.0,2
120,1,10.5,10.5,1
120,1,20.25,20.25,28
121,1,16.75,16.75,8
121,1,17.95,17.95,22
121,1,20.25,20.25,29
121,1,20.75,20.75,16
122,1,16.5,16.5,5
123,1,12.0,12.0,12
124,1,12.75,12.75,8
124,1,20.25,20.25,29
124,1,20.75,20.75,13
124,1,12.0,12.0,9
125,1,25.5,25.5,9
126,1,20.25,20.25,15
127,1,12.5,12.5,18
128,1,12.5,12.5,13
128,1,16.75,16.75,25
128,1,17.5,17.5,31
129,1,12.0,12.0,20
129,1,16.0,16.0,9
130,1,10.5,10.5,1
130,1,20.5,20.5,12
130,1,16.0,16.0,4
130,1,12.75,12.75,16
131,1,20.75,20.75,19
131,1,18.5,18.5,3
131,1,12.0,12.0,11
131,1,12.5,12.5,10
131,1,20.75,20.75,19
131,1,12.25,12.25,29
132,1,9.75,9.75,18
133,1,20.75,20.75,8
133,1,16.5,16.5,1
133,1,12.0,12.0,9
133,1,12.5,12.5,27
133,1,20.25,20.25,29
133,1,20.75,20.75,21
133,1,16.75,16.75,16
134,1,12.0,12.0,20
134,1,20.75,20.75,16
134,1,12.5,12.5,10
135,1,20.25,20.25,15
136,1,18.5,18.5,3
136,1,12.5,12.5,27
137,1,20.25,20.25,26
137,1,9.75,9.75,18
137,1,16.5,16.5,13
138,1,16.75,16.75,17
138,1,17.95,17.95,22
138,1,21.0,21.0,25
138,1,16.25,16.25,29
139,1,18.5,18.5,3
140,1,12.5,12.5,7
140,1,16.0,16.0,15
141,1,16.0,16.0,2
141,1,10.5,10.5,1
141,1,16.75,16.75,25
142,1,16.0,16.0,11
143,1,12.75,12.75,17
143,1,12.0,12.0,2
143,1,16.5,16.5,1
143,1,16.0,16.0,4
143,1,15.25,15.25,18
143,1,12.5,12.5,7
143,1,20.75,20.75,6
143,1,16.0,16.0,15
144,3,16.75,50.25,8
144,1,12.0,12.0,20
144,1,20.75,20.75,17
144,1,16.75,16.75,19
144,1,18.5,18.5,3
144,1,17.95,17.95,22
144,1,11.0,11.0,31
144,1,20.75,20.75,16
144,1,12.75,12.75,16
144,1,20.75,20.75,13
144,1,16.75,16.75,6
144,1,20.25,20.25,15
145,1,12.0,12.0,9
146,1,20.75,20.75,17
146,1,14.75,14.75,22
146,1,13.25,13.25,1
147,1,25.5,25.5,9
148,1,12.0,12.0,26
149,1,16.0,16.0,28
150,1,12.5,12.5,18
151,1,20.75,20.75,16
151,1,12.5,12.5,10
152,1,10.5,10.5,1
152,1,20.25,20.25,28
152,1,12.75,12.75,6
152,1,16.0,16.0,9
153,1,16.0,16.0,4
154,1,12.5,12.5,7
155,1,12.75,12.75,19
155,1,20.5,20.5,23
155,1,15.25,15.25,18
155,1,20.75,20.75,27
156,1,16.0,16.0,23
156,1,20.75,20.75,6
157,1,20.75,20.75,5
157,1,16.0,16.0,26
157,1,16.25,16.25,29
157,1,16.5,16.5,14
158,1,16.75,16.75,25
158,1,16.75,16.75,6
159,1,17.95,17.95,22
159,1,16.75,16.75,6
160,1,16.0,16.0,2
161,1,10.5,10.5,1
161,1,16.5,16.5,13
161,1,25.5,25.5,9
